date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:04	1371/1371	---MC-	200	added ('OK')	application/javascript	etag:%22402058e-55b-572eea99f14ae%22	https://www.coloris.com.mx/wp-content/themes/enfold/js/avia-compat.js?ver=4.1	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/js/avia-compat2f54.js	(from https://www.coloris.com.mx/)
21:26:05	156559/156559	---MC-	200	added ('OK')	application/javascript	etag:%224020584-2638f-5725184a4ef0c%22	https://www.coloris.com.mx/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from https://www.coloris.com.mx/)
21:26:06	1193/1193	---MC-	200	added ('OK')	application/javascript	etag:%224022609-4a9-5725184a4df6b%22	https://www.coloris.com.mx/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=4.9.16	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-includes/js/mediaelement/mediaelement-migrate.min8d9d.js	(from https://www.coloris.com.mx/)
21:26:07	848/848	---MC-	200	added ('OK')	text/xml	date:Tue,%2012%20Jan%202021%2003:26:06%20GMT	https://www.coloris.com.mx/xmlrpc.php?rsd	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/xmlrpc0db0.php	(from https://www.coloris.com.mx/)
21:26:07	60482/60482	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Jan%202021%2003:26:06%20GMT	https://www.coloris.com.mx/wp-json/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-json/index.html	(from https://www.coloris.com.mx/)
21:26:10	2181/2181	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Jan%202021%2003:26:07%20GMT	https://www.coloris.com.mx/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.coloris.com.mx%2F	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-json/oembed/1.0/embed8a27.json	(from https://www.coloris.com.mx/)
21:26:11	2278/2278	---MC-	200	added ('OK')	text/xml	date:Tue,%2012%20Jan%202021%2003:26:10%20GMT	https://www.coloris.com.mx/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.coloris.com.mx%2F&format=xml	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-json/oembed/1.0/embedf746	(from https://www.coloris.com.mx/)
21:26:12	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2012%20Jan%202021%2003:26:11%20GMT	https://www.coloris.com.mx/xmlrpc.php	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/xmlrpc.php	(from https://www.coloris.com.mx/)
21:26:12	1383/1383	---MC-	200	added ('OK')	image/png	etag:%22402147c-567-55e3218f31f77%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/coloris-icon-80x80.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/coloris-icon-80x80.png	(from https://www.coloris.com.mx/)
21:26:13	47528/47528	---MC-	200	added ('OK')	application/vnd.ms-fontobject	etag:%22402116e-b9a8-526514eee4d80%22	https://www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot?v=3	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.eot	(from https://www.coloris.com.mx/)
21:26:13	30804/30804	---MC-	200	added ('OK')	font/woff	etag:%224021171-7854-526514eee4d80%22	https://www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff?v=3	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.woff	(from https://www.coloris.com.mx/)
